Suburb,Street
Bowral,Oxleys Hill Road
"Bowral, Burradoo",Kangaloon Road
"Bowral, Burradoo, Mittagong","Bong Bong Street, Bowral Road, Mittagong Road, Moss Vale Road"
"Box Hill, Riverstone, Rouse Hill",Windsor Road
"Boxers Creek, Brisbane Grove, Goulburn, Towrang","Hume Highway, Sydney Road"
"Boxers Creek, Carrick, Marulan",Hume Highway
"Bradbury, Campbelltown",Moore Oxley Bypass
"Braefield, Quirindi, Willow Tree","Kamilaroi Highway, Lennox Street, Loder Street"
Braidwood,"Kings Highway, Lascelles Street, Solus Street, Wallace Street"
"Braidwood, Monga, Northangera",Kings Highway
"Brandy Hill, Clarence Town, Glen Oak, Nelsons Plains, Seaham","Clarence Town Road, Dixon Street, Seaham Road, Warren Street"
"Branxton, Greta","High Street, New England Highway, Park Street"
"Branxton, North Rothbury","Bridge Street, Clift Street, Wine Country Drive"
"Bray Park, Byangum, Dum Dum, Murwillumbah",Kyogle Road
"Bredbo, Colinton",Monaro Highway
"Breeza, Curlewis, Quipolly, Quirindi, Werris Creek",Kamilaroi Highway
"Brewongle, Kelso, O'Connell, White Rock","Littlebourne Street, O'Connell Road"
"Brighton-Le-Sands, Monterey",The Grand Parade
"Brighton-Le-Sands, Rockdale",Bay Street
"Bringelly, Greendale, Luddenham",The Northern Road
"Bringelly, Oran Park",The Northern Road
"Brisbane Grove, Goulburn","Braidwood Road, Clinton Street, Sloane Street"
"Broadmeadow, Hamilton North, Lambton, Waratah",Griffiths Road
"Broadmeadow, Lambton, New Lambton, Waratah",Turton Road
"Broadmeadow, New Lambton",Lambton Road
"Broadwater, East Wardell, Wardell",Blackwall Drive (formerly Pacific Highway)
"Broadwater, Eden, Greigs Flat",Princes Highway
"Brocklehurst, Dubbo","Bourke Street, Newell Highway"
Brogo,Princes Highway
"Brogo, Cobargo, Quaama",Princes Highway
"Broken Head, Byron Bay, Suffolk Park",Broken Head Road
"Broken Head, Lennox Head","Broken Head Road, Byron Bay Road"
"Broken Head, Newrybar","Broken Head Road, Midgen Flat Road"
"Bronte, Clovelly, Coogee, South Coogee, Waverley",Arden Street
"Brookdale, Bulgary, Collingullie, Galore, Moorong, San Isidore, Sandigo, Yarragundry",Sturt Highway
"Brookfield, Clarence Town","Clarence Town Road, Rifle Street"
"Brookfield, Wirragulla",Clarence Town Road
"Brookvale, Dee Why",Pittwater Road
"Broughton Village, Gerringong, Toolijooa, Willow Vale",Princes Highway
"Brownsville, Dapto, Kanahooka",Kanahooka Road
"Brundee, Pyree, Worrigee",Greenwell Point Road
"Buckenbowra, Currowan",Kings Highway
"Buckenbowra, Monga",Kings Highway
"Buckendoon, East Coraki, North Woodburn, Woodburn","Buckendoon School Lane, Forest Road, Wyrallah Road"
"Budgewoi, Budgewoi Peninsula, Freemans, Lake Munmorah","Elizabeth Bay Drive, Mimosa Road, Ourringo Street"
"Budgewoi, Buff Point, Colongra, San Remo","Budgewoi Road, Scenic Drive"
"Bulahdelah, Nerong","Booral Road, Bulahdelah Way, Pacific Highway"
"Bulga, Glenridding, Mount Thorley",Putty Road
"Bullaburra, Lawson, Wentworth Falls",Great Western Highway
"Bullarah, Collarenebri, Moree","Greenbah Road, Gwydir Highway, Wilson Street"
"Bulli, Russell Vale, Woonona",Princes Highway
"Bulli, Thirroul",Princes Highway
"Bumbaldry, Cowra, Grenfell","Camp Street, Cowra Road, Grenfell Road, Mid Western Highway"
"Bundarra, Gilgai, Howell, Inverell, Stanborough, Tingha","Bendemeer Street, Thunderbolts Way, Bundarra Road, Tingha Road"
"Bungawalbin, Codrington, Coraki, Swan Bay, Woodburn","Casino-Coraki Road, Queen Elizabeth Drive, Woodburn-Coraki Road"
Bungendore,"Kings Highway, Malbon Street, Molonglo Street"
"Bungendore, Lake George, Mount Fairy, Tarago","Bungendore Road, Goulburn Street, Molonglo Street, Tarago Road, Wallace Street"
